home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,qbelo1_pre,qbelo2_pre,Home_Win
5.548076923,-0.259615385,-5.073717949,2.490384615,1583.233873,1385.771422,1
2.794871795,4.608974359,-8.810897436,2.782051282,1631.002673,1380.902746,1
-2.753205128,5.826923077,0.717948718,-6.275641026,1339.361493,1539.573121,0
-1.766025641,-2.759615385,7.810897436,-4.298076923,1536.036735,1645.48997,1
4.288461538,-5.282051282,-2.416666667,-2.862179487,1577.867873,1496.641277,0
-11.00320513,4.237179487,7.096153846,-1.349358974,1319.724757,1607.770251,0
1.570512821,1.820512821,0.782051282,-8.967948718,1463.642457,1531.718701,1
7.810897436,-4.298076923,1.416666667,3.737179487,1628.3817,1461.58139,1
-5.189102564,4.576923077,0.967948718,0.278846154,1473.818396,1515.853434,0
0.782051282,-8.967948718,-6.041666667,-2.125,1514.134863,1406.361075,0
8.003205128,-1.602564103,-4.913461538,9.108974359,1513.926697,1330.489586,1
12.33012821,1.330128205,2.794871795,4.608974359,1618.080878,1637.946404,1
-5.073717949,2.490384615,-1.483974359,-4.650641026,1378.993044,1470.272117,0
-5.333333333,3.461538462,-11.00320513,4.237179487,1461.890202,1307.171517,1
-8.810897436,2.782051282,5.548076923,-0.259615385,1373.959015,1590.012252,1
-5.634615385,-0.730769231,-2.753205128,5.826923077,1467.148351,1326.615558,0
1.769230769,-0.762820513,-5.564102564,3.28525641,1610.067231,1388.761355,1
2.230769231,-2.403846154,-3,1.349358974,1568.22029,1547.324554,1
-2.416666667,-2.862179487,3.21474359,-0.349358974,1517.622199,1462.344735,0
7.096153846,-1.349358974,4.288461538,-5.282051282,1620.323491,1556.886951,1
6.368589744,0.259615385,-1.766025641,-2.759615385,1551.723384,1553.145006,0
-11.00320513,4.237179487,5.150641026,-1.580128205,1301.572549,1660.133349,0
-2.753205128,5.826923077,6.368589744,0.259615385,1360.871011,1519.346231,0
1.769230769,-0.762820513,7.096153846,-1.349358974,1617.310626,1627.062651,1
1.570512821,1.820512821,12.33012821,1.330128205,1481.226295,1643.554269,0
0.717948718,-6.275641026,2.230769231,-2.403846154,1552.319056,1585.44553,1
-1.483974359,-4.650641026,-6.041666667,-2.125,1486.485696,1428.023024,0
-2.416666667,-2.862179487,-3,1.349358974,1484.097145,1530.099315,1
7.810897436,-4.298076923,-5.073717949,2.490384615,1642.891487,1362.779465,1
2.794871795,4.608974359,0.967948718,0.278846154,1612.473012,1548.860527,0
-8.810897436,2.782051282,0.782051282,-8.967948718,1400.191233,1492.472913,0
-5.564102564,3.28525641,8.003205128,-1.602564103,1381.51796,1522.774324,0
3.21474359,-0.349358974,-3.076923077,-2.894230769,1495.869789,1471.36443,1
-5.634615385,-0.730769231,5.548076923,-0.259615385,1432.892898,1563.780034,0
0.782051282,-8.967948718,1.570512821,1.820512821,1525.994139,1465.107103,0
1.416666667,3.737179487,-5.333333333,3.461538462,1447.071603,1467.489171,1
6.368589744,0.259615385,-8.810897436,2.782051282,1544.910281,1366.670008,1
8.003205128,-1.602564103,7.096153846,-1.349358974,1546.629058,1606.982341,0
0.967948718,0.278846154,-1.483974359,-4.650641026,1579.007937,1451.579109,0
4.288461538,-5.282051282,-1.766025641,-2.759615385,1550.147792,1585.522159,1
0.717948718,-6.275641026,-5.189102564,4.576923077,1577.044589,1440.811303,1
-6.041666667,-2.125,3.21474359,-0.349358974,1462.929611,1505.868756,0
-4.913461538,9.108974359,-11.00320513,4.237179487,1321.641958,1294.455713,0
-3,1.349358974,-5.564102564,3.28525641,1493.724825,1357.663226,1
5.548076923,-0.259615385,2.794871795,4.608974359,1581.699894,1582.325602,1
5.150641026,-1.580128205,-3.076923077,-2.894230769,1667.250184,1461.365463,1
12.33012821,1.330128205,2.230769231,-2.403846154,1659.673461,1560.719998,1
5.548076923,-0.259615385,0.717948718,-6.275641026,1609.461036,1590.383136,0
-5.333333333,3.461538462,-2.753205128,5.826923077,1441.847448,1335.306961,1
-5.073717949,2.490384615,8.003205128,-1.602564103,1356.129112,1521.832628,1
-3,1.349358974,0.967948718,0.278846154,1506.865377,1534.087646,0
2.794871795,4.608974359,6.368589744,0.259615385,1554.56446,1551.463178,0
7.810897436,-4.298076923,1.570512821,1.820512821,1649.54184,1490.504618,1
5.150641026,-1.580128205,3.21474359,-0.349358974,1670.817212,1533.817881,1
-2.416666667,-2.862179487,4.288461538,-5.282051282,1520.471634,1578.016785,1
2.230769231,-2.403846154,-5.634615385,-0.730769231,1549.155505,1414.973039,1
12.33012821,1.330128205,-1.483974359,-4.650641026,1671.237954,1496.4994,1
-3.076923077,-2.894230769,1.416666667,3.737179487,1457.798436,1472.713326,0
-5.189102564,4.576923077,-4.913461538,9.108974359,1427.472756,1291.846764,1
-1.766025641,-2.759615385,1.769230769,-0.762820513,1557.653166,1637.390936,0
-3.076923077,-2.894230769,-3,1.349358974,1436.402039,1471.337181,1
0.782051282,-8.967948718,-5.333333333,3.461538462,1500.596624,1450.369573,0
-8.810897436,2.782051282,-2.753205128,5.826923077,1360.117111,1326.784835,0
-11.00320513,4.237179487,12.33012821,1.330128205,1324.250908,1679.067056,0
5.150641026,-1.580128205,7.810897436,-4.298076923,1676.927812,1655.936778,1
8.003205128,-1.602564103,0.717948718,-6.275641026,1492.154542,1609.634634,1
7.096153846,-1.349358974,-4.913461538,9.108974359,1631.778771,1279.430483,1
6.368589744,0.259615385,5.548076923,-0.259615385,1559.814003,1590.209538,1
-5.634615385,-0.730769231,-1.766025641,-2.759615385,1401.473132,1533.703362,1
1.769230769,-0.762820513,-2.416666667,-2.862179487,1661.34074,1542.526653,0
1.570512821,1.820512821,-5.073717949,2.490384615,1484.10968,1385.807197,1
0.967948718,0.278846154,-5.189102564,4.576923077,1569.615842,1439.889037,1
-1.483974359,-4.650641026,2.230769231,-2.403846154,1488.670298,1562.655413,1
1.416666667,3.737179487,-6.041666667,-2.125,1494.109723,1434.980486,1
-5.564102564,3.28525641,4.288461538,-5.282051282,1344.522674,1555.961766,0
-1.483974359,-4.650641026,1.570512821,1.820512821,1513.791631,1491.760902,0
4.288461538,-5.282051282,5.150641026,-1.580128205,1574.173477,1682.181158,0
8.003205128,-1.602564103,-3.076923077,-2.894230769,1521.348235,1453.341226,1
-2.753205128,5.826923077,1.769230769,-0.762820513,1351.269629,1630.51617,1
2.794871795,4.608974359,2.230769231,-2.403846154,1546.213634,1537.534079,1
