home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,home_won
12.33012821,1.330128205,7.096153846,-1.349358974,1
-3,1.349358974,7.096153846,-1.349358974,1
7.810897436,-4.298076923,7.096153846,-1.349358974,1
5.548076923,-0.259615385,7.096153846,-1.349358974,0
-5.634615385,-0.730769231,7.096153846,-1.349358974,0
0.782051282,-8.967948718,7.096153846,-1.349358974,1
8.003205128,-1.602564103,7.096153846,-1.349358974,1
-4.913461538,9.108974359,7.096153846,-1.349358974,1
12.33012821,1.330128205,2.230769231,-2.403846154,0
-5.073717949,2.490384615,2.230769231,-2.403846154,0
1.769230769,-0.762820513,2.230769231,-2.403846154,1
5.548076923,-0.259615385,2.230769231,-2.403846154,1
-11.00320513,4.237179487,2.230769231,-2.403846154,0
-5.189102564,4.576923077,2.230769231,-2.403846154,0
-1.483974359,-4.650641026,2.230769231,-2.403846154,0
-5.564102564,3.28525641,2.230769231,-2.403846154,0
12.33012821,1.330128205,-1.483974359,-4.650641026,1
-5.073717949,2.490384615,-1.483974359,-4.650641026,1
1.769230769,-0.762820513,-1.483974359,-4.650641026,1
2.794871795,4.608974359,-1.483974359,-4.650641026,1
-11.00320513,4.237179487,-1.483974359,-4.650641026,1
-5.189102564,4.576923077,-1.483974359,-4.650641026,1
2.230769231,-2.403846154,-1.483974359,-4.650641026,1
-5.564102564,3.28525641,-1.483974359,-4.650641026,1
12.33012821,1.330128205,-5.564102564,3.28525641,0
-5.073717949,2.490384615,-5.564102564,3.28525641,1
1.769230769,-0.762820513,-5.564102564,3.28525641,1
-5.333333333,3.461538462,-5.564102564,3.28525641,1
-6.041666667,-2.125,-5.564102564,3.28525641,1
-2.416666667,-2.862179487,-5.564102564,3.28525641,1
4.288461538,-5.282051282,-5.564102564,3.28525641,1
1.570512821,1.820512821,-5.564102564,3.28525641,0
12.33012821,1.330128205,1.769230769,-0.762820513,1
-5.073717949,2.490384615,1.769230769,-0.762820513,0
1.416666667,3.737179487,1.769230769,-0.762820513,0
-6.041666667,-2.125,1.769230769,-0.762820513,0
-2.416666667,-2.862179487,1.769230769,-0.762820513,0
-5.564102564,3.28525641,1.769230769,-0.762820513,0
4.288461538,-5.282051282,1.769230769,-0.762820513,0
1.570512821,1.820512821,1.769230769,-0.762820513,0
12.33012821,1.330128205,-5.189102564,4.576923077,1
-5.073717949,2.490384615,-5.189102564,4.576923077,1
-3,1.349358974,-5.189102564,4.576923077,0
-11.00320513,4.237179487,-5.189102564,4.576923077,1
-8.810897436,2.782051282,-5.189102564,4.576923077,1
-1.766025641,-2.759615385,-5.189102564,4.576923077,1
-3.076923077,-2.894230769,-5.189102564,4.576923077,1
0.967948718,0.278846154,-5.189102564,4.576923077,0
12.33012821,1.330128205,-11.00320513,4.237179487,1
-5.073717949,2.490384615,-11.00320513,4.237179487,1
-5.189102564,4.576923077,-11.00320513,4.237179487,1
-4.913461538,9.108974359,-11.00320513,4.237179487,1
-8.810897436,2.782051282,-11.00320513,4.237179487,1
-1.766025641,-2.759615385,-11.00320513,4.237179487,0
-3.076923077,-2.894230769,-11.00320513,4.237179487,1
0.967948718,0.278846154,-11.00320513,4.237179487,0
12.33012821,1.330128205,-5.073717949,2.490384615,0
-5.634615385,-0.730769231,-5.073717949,2.490384615,0
-2.416666667,-2.862179487,-5.073717949,2.490384615,0
-1.483974359,-4.650641026,-5.073717949,2.490384615,0
2.230769231,-2.403846154,-5.073717949,2.490384615,1
-3.076923077,-2.894230769,-5.073717949,2.490384615,0
4.288461538,-5.282051282,-5.073717949,2.490384615,1
0.967948718,0.278846154,-5.073717949,2.490384615,0
-5.073717949,2.490384615,12.33012821,1.330128205,0
-2.416666667,-2.862179487,12.33012821,1.330128205,0
-1.483974359,-4.650641026,12.33012821,1.330128205,0
2.230769231,-2.403846154,12.33012821,1.330128205,0
0.717948718,-6.275641026,12.33012821,1.330128205,0
-3.076923077,-2.894230769,12.33012821,1.330128205,0
4.288461538,-5.282051282,12.33012821,1.330128205,1
0.967948718,0.278846154,12.33012821,1.330128205,1
-5.073717949,2.490384615,-4.913461538,9.108974359,0
-3,1.349358974,-4.913461538,9.108974359,1
2.794871795,4.608974359,-4.913461538,9.108974359,1
-6.041666667,-2.125,-4.913461538,9.108974359,1
8.003205128,-1.602564103,-4.913461538,9.108974359,1
0.717948718,-6.275641026,-4.913461538,9.108974359,1
7.096153846,-1.349358974,-4.913461538,9.108974359,1
1.570512821,1.820512821,-4.913461538,9.108974359,0
1.769230769,-0.762820513,4.288461538,-5.282051282,0
7.810897436,-4.298076923,4.288461538,-5.282051282,1
3.21474359,-0.349358974,4.288461538,-5.282051282,0
