Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
PELHAM PARKWAY SOUTH,D4  -ELEVATOR,      121,1964,153804,2251691,     14.64,944357,6.14,1307334,9490000,     61.70,2-04328-0023,1025 ESPLANADE,PELHAM PARKWAY SOUTH,D1  -ELEVATOR,       48,1954,56200,822768,     14.64,345068,6.14,477700,4278000,     76.12
BRONXDALE,D4  -ELEVATOR,      116,1937,108757,1981553,     18.22,1166963,10.73,814590,6225000,     57.24,2-03129-0015,932 BRONX PARK SOUTH,EAST TREMONT,D1  -ELEVATOR,       38,1931,37000,675990,     18.27,378880,10.24,297110,3676000,     99.35
BRONXDALE,D4  -ELEVATOR,       68,1956,65071,1063260,     16.34,619476,9.52,443784,3313000,     50.91,2-04513-0033,2765 MATTHEWS AVENUE,BRONXDALE,D1  -ELEVATOR,       72,1929,80681,1318328,     16.34,768083,9.52,550244,3121000,     38.68
BRONXDALE,D4  -ELEVATOR,      136,1962,125891,2194280,     17.43,1323114,10.51,871166,6597000,     52.40,2-04323-0018,2160 MATTHEWS AVENUE,PELHAM PARKWAY SOUTH,D1  -ELEVATOR,      133,1964,136122,2443390,     17.95,1346247,9.89," 1,097,143",11224000,     82.46
PELHAM PARKWAY NORTH,D4  -ELEVATOR,      168,1952,140662,2156348,     15.33,1056372,7.51,1099977,8084000,     57.47,2-04513-0033,2765 MATTHEWS AVENUE,BRONXDALE,D1  -ELEVATOR,       72,1929,80681,1236840,     15.33,605914,7.51,630925,3121000,     38.68
BRONXDALE,D4  -ELEVATOR,      172,1963,183600,2955960,     16.10,1432080,7.8,1523880,11333000,     61.73,2-03279-0025,2828 DECATUR AVENUE,BEDFORD PARK/NORWOOD,D9  -ELEVATOR,       70,1993,85000,1368500,     16.10,663000,7.8,705500,2345000,     27.59
BRONXDALE,D4  -ELEVATOR,      213,1965,232532,4083262,     17.56,2220681,9.55,1862581,14125000,     60.74,2-04513-0033,2765 MATTHEWS AVENUE,BRONXDALE,D1  -ELEVATOR,       72,1929,80681,1416758,     17.56,770504,9.55,646255,3121000,     38.68
BRONXDALE,D4  -ELEVATOR,       66,1955,71256,1149359,     16.13,536558,7.53,612802,4538000,     63.69,2-04513-0033,2765 MATTHEWS AVENUE,BRONXDALE,D1  -ELEVATOR,       72,1929,80681,1274760,     15.80,607528,7.53,667232,3121000,     38.68
BRONXDALE,D4  -ELEVATOR,      297,1961,352360,5514434,     15.65,3308660,9.39,2205774,16296000,     46.25,2-04341-0025,2260 BARKER AVENUE,BRONXDALE,D9  -ELEVATOR,       66,1997,47282,739963,     15.65,390549,8.26,349414,3210000,     67.89
BRONXDALE,D4  -ELEVATOR,      129,1928,127566,2440338,     19.13,1269282,9.95,1171056,9034000,     70.82,2-04342-0010,2280 OLINVILLE AVENUE,BRONXDALE,D1  -ELEVATOR,      512,1965,255000,4689450,     18.39,2692800,10.56," 1,996,650",15284000,     59.94
