Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
BRONXDALE,C6  -WALK-UP,       74,1927,48944,824706,     16.85,477204,9.75,347502,2613000,     53.39,2-04512-0052,2723 BARNES AVENUE,BRONXDALE,C1  -WALK-UP,       59,1928,52800,889680,     16.85,514800,9.75,374880,2816000,     53.33
BRONXDALE,C6  -WALK-UP,       37,1953,27225,457108,     16.79,251287,9.23,205821,1546000,     56.79,2-04506-0001,2700 BRONX PARK EAST,BRONXDALE,C7  -WALK-UP,      728,1927,282920,4750227,     16.79,2611352,9.23," 2,138,875",12940000,     45.74
BRONXDALE,D4  -ELEVATOR,       47,1963,38150,713405,     18.70,428043,11.22,285362,2192000,     57.46,2-04671-0064,856 EAST 213 STREET,WILLIAMSBRIDGE,D1  -ELEVATOR,       36,2012,27891,522120,     18.72,240699,8.63,281420,3188000,    114.30
BRONXDALE,D4  -ELEVATOR,       79,1930,67248,1147251,     17.06,552779,8.22,594472,4481000,     66.63,2-04594-0040,3225 OLINVILLE AVENUE,BRONXDALE,D1  -ELEVATOR,       55,1931,50748,864238,     17.03,418164,8.24,446075,2763000,     54.45
BRONXDALE,D4  -ELEVATOR,      101,1965,116222,2226814,     19.16,1113407,9.58,1113407,8567000,     73.71,2-04671-0064,856 EAST 213 STREET,WILLIAMSBRIDGE,D1  -ELEVATOR,       36,2012,27891,576786,     20.68,168741,6.05,408045,3188000,    114.30
WILLIAMSBRIDGE,D4  -ELEVATOR,      142,1965,167000,2738800,     16.40,1320970,7.91,1417830,10574000,     63.32,2-04820-0020,3961 CARPENTER AVENUE,WILLIAMSBRIDGE,D7  -ELEVATOR,       58,2012,40660,661132,     16.26,321621,7.91,339511,5580000,    137.24
WILLIAMSBRIDGE,D4  -ELEVATOR,      166,1958,167750,3048018,     18.17,1971063,11.75,1076955,8227000,     49.04,2-04820-0020,3961 CARPENTER AVENUE,WILLIAMSBRIDGE,D7  -ELEVATOR,       58,2012,40660,738792,     18.17,386677,9.51,352116,5580000,    137.24
WILLIAMSBRIDGE,D4  -ELEVATOR,      126,1967,136070,2281894,     16.77,1110331,8.16,1171563,8782000,     64.54,2-04827-0029,641 EAST 225 STREET,WILLIAMSBRIDGE,D1  -ELEVATOR,       77,1998,62035,1029781,     16.60,506206,8.16,523575,2717000,     43.80
WILLIAMSBRIDGE,C6  -WALK-UP,       19,1928,19292,302306,     15.67,180573,9.36,121733,899000,     46.60,2-03329-0040,3569 DEKALB AVENUE,BEDFORD PARK/NORWOOD,C1  -WALK-UP,       59,1926,41955,625549,     14.91,360813,8.6,264736,2324000,     55.39
WILLIAMSBRIDGE,D4  -ELEVATOR,      269,1962,289000,4236740,     14.66,1878500,6.5,2358240,17118000,     59.23,2-03343-0204,250 EAST GUN HILL ROAD,BEDFORD PARK/NORWOOD,D7  -ELEVATOR,       82,1925,100829,1478153,     14.66,773358,7.67,704795,3942000,     39.10
WILLIAMSBRIDGE,D4  -ELEVATOR,       58,2018,76358,1787541,     23.41,352010,4.61,1435530,11406000,    149.38,2-04820-0020,3961 CARPENTER AVENUE,WILLIAMSBRIDGE,D7  -ELEVATOR,       58,2012,40660,961202,     23.64,259411,6.38,701792,5580000,    137.24
WILLIAMSBRIDGE,D4  -ELEVATOR,      266,1971,318060,4557800,     14.33,2544480,8,2013320,14525000,     45.67,2-04671-0064,856 EAST 213 STREET,WILLIAMSBRIDGE,D1  -ELEVATOR,       36,2012,27891,374855,     13.44,171251,6.14,203604,3188000,    114.30
WILLIAMSBRIDGE,C6  -WALK-UP,       23,1963,16506,271689,     16.46,141787,8.59,129902,971000,     58.83,2-04820-0012,3975 CARPENTER AVENUE,WILLIAMSBRIDGE,C1  -WALK-UP,       25,1927,17420,306766,     17.61,141799,8.14,164967,650000,     37.31
WILLIAMSBRIDGE,D4  -ELEVATOR,      201,1957,249258,3145636,     12.62,810089,3.25,2335547,16190000,     64.95,2-03395-0047,530 EAST 234 STREET,WOODLAWN,D7  -ELEVATOR,       88,1955,113670,1434515,     12.62,587674,5.17,846842,5089000,     44.77
WAKEFIELD,D4  -ELEVATOR,      110,1964,120534,1404221,     11.65,689454,5.72,714767,4818000,     39.97,2-04827-0029,641 EAST 225 STREET,WILLIAMSBRIDGE,D1  -ELEVATOR,       77,1998,62035,722708,     11.65,354840,5.72,367868,2717000,     43.80
WAKEFIELD,C6  -WALK-UP,       21,1964,17013,351148,     20.64,175914,10.34,175234,1369000,     80.47,2-04999-0066,718 EAST 236 STREET,WAKEFIELD,C1  -WALK-UP,       16,1927,13000,268190,     20.63,156130,12.01,112060,709000,     54.54
CO-OP CITY,D4  -ELEVATOR,     4470,1969,5541031,85110236,     15.36,50201741,9.06,34908495, 256567000,     46.30,2-03100-0065,711 GARDEN STREET,BELMONT,D7  -ELEVATOR,      167,1971,190000,3653700,     19.23,2147000,11.3," 1,506,700",11630000,     61.21
CO-OP CITY,D4  -ELEVATOR,    10948,1969,13540113, 189019977,     13.96, 119017593,8.79,70002384, 500769000,     36.98,2-02272-0038,530 EAST 146 STREET,MOTT HAVEN/PORT MORRIS,D1  -ELEVATOR,       95,1973,148500,1869615,     12.59,1189485,8.01,680130,8332000,     56.11
BAYCHESTER,D4  -ELEVATOR,      208,1965,256000,4759040,     18.59,2616320,10.22,2142720,16413000,     64.11,2-04753-0029,3333 BRUNER AVENUE,BAYCHESTER,D1  -ELEVATOR,       23,2000,30000,534900,     17.83,259800,8.66,275100,2189000,     72.97
SCHUYLERVILLE/PELHAM BAY,D4  -ELEVATOR,       71,1939,57994,1082748,     18.67,523686,9.03,559062,4274000,     73.70,2-04178-0005,3565 BRUCKNER BOULEVARD,SCHUYLERVILLE/PELHAM BAY,D1  -ELEVATOR,       49,1931,38250,732488,     19.15,267368,6.99,465120,3853000,    100.73
COUNTRY CLUB,D4  -ELEVATOR,      130,1963,136913,2306984,     16.85,1162391,8.49,1144593,8610000,     62.89,2-04173-0029,1610 MAHAN AVENUE,SCHUYLERVILLE/PELHAM BAY,D7  -ELEVATOR,       57,1928,51000,892500,     17.50,350880,6.88,541620,4898000,     96.04
COUNTRY CLUB,D4  -ELEVATOR,       65,1965,55800,1164546,     20.87,562464,10.08,602082,4714000,     84.48,2-05519-0119,270 LONGSTREET AVENUE,THROGS NECK,D1  -ELEVATOR,       63,1965,64923,1285475,     19.80,730384,11.25,555092,2930000,     45.13
CITY ISLAND,C6  -WALK-UP,       12,1920,6480,156881,     24.21,80093,12.36,76788,613000,     94.60,2-02577-0056,461 WALES AVENUE,MOTT HAVEN/PORT MORRIS,C1  -WALK-UP,       16,2008,16250,393413,     24.21,200850,12.36,192563,871000,     53.60
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      117,1966,122000,1855620,     15.21,910120,7.46,945500,6934000,     56.84,2-03250-0113,2850 CLAFLIN AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       78,1927,95500,1452555,     15.21,712430,7.46,740125,3964000,     41.51
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      225,1961,234000,3219840,     13.76,1696500,7.25,1523340,10861000,     46.41,2-03263-0050,140 VAN CORTLANDT AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       88,1943,70300,967328,     13.76,509675,7.25,457653,7141000,    101.58
RIVERDALE,D4  -ELEVATOR,       69,1958,85117,1578920,     18.55,829040,9.74,749881,5732000,     67.34,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2894114,     18.27,1542894,9.74," 1,351,220",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      130,1969,142000,2811600,     19.80,1496680,10.54,1314920,10183000,     71.71,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,3109549,     19.63,1669620,10.54," 1,439,929",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      339,1967,466400,8852272,     18.98,3917760,8.4,4934512,38001000,     81.48,2-05796-0117,3620 OXFORD AVENUE,RIVERDALE,D7  -ELEVATOR,       32,2005,66142,1252068,     18.93,555593,8.4,696475,8553000,    129.31
RIVERDALE,D4  -ELEVATOR,      412,1966,539000,9346260,     17.34,5142060,9.54,4204200,31824000,     59.04,2-05920-0687,699 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,      132,1962,162000,3112020,     19.21,1352700,8.35," 1,759,320",13584000,     83.85
RIVERDALE,D4  -ELEVATOR,      244,1953,237800,4846364,     20.38,2078372,8.74,2767992,21562000,     90.67,2-05787-0137,3220 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,       85,1954,100498,2078299,     20.68,865288,8.61," 1,213,011",7573000,     75.35
RIVERDALE,D4  -ELEVATOR,      252,1954,247247,4507313,     18.23,1713422,6.93,2793891,21355000,     86.37,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2887778,     18.23,1713975,10.82," 1,173,803",9369000,     59.14
RIVERDALE,C6  -WALK-UP,       34,1948,43000,810550,     18.85,381410,8.87,429140,3302000,     76.79,2-03250-0032,2853 WEBB AVENUE,KINGSBRIDGE/JEROME PARK,C1  -WALK-UP,       28,1924,22000,428780,     19.49,194480,8.84,234300,1868000,     84.91
RIVERDALE,D4  -ELEVATOR,       66,1962,82500,1432200,     17.36,787875,9.55,644325,4877000,     59.12,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       96,1961,130570,1885431,     14.44,848705,6.5,1036726,7495000,     57.40,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2287412,     14.44,1389238,8.77,898173,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       75,1964,93060,1603424,     17.23,833818,8.96,769606,5815000,     62.49,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2542448,     16.05,1653780,10.44,888669,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       73,1958,111000,1926960,     17.36,866910,7.81,1060050,8019000,     72.24,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       61,1953,72800,1263808,     17.36,682136,9.37,581672,4399000,     60.43,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      121,1941,125148,2003619,     16.01,1086285,8.68,917335,6812000,     54.43,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2429979,     15.34,1623682,10.25,806297,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       60,1966,64310,1116422,     17.36,668824,10.4,447598,3387000,     52.67,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      122,1953,141721,2759308,     19.47,1380363,9.74,1378945,10641000,     75.08,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2845008,     17.96,1725063,10.89," 1,119,945",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      108,1949,108700,1887032,     17.36,1038085,9.55,848947,6425000,     59.11,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       70,1961,79296,1292525,     16.30,590755,7.45,701770,5235000,     66.02,2-05787-0137,3220 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,       85,1954,100498,1679322,     16.71,736650,7.33,942671,7573000,     75.35
RIVERDALE,D4  -ELEVATOR,       60,1964,80214,1392515,     17.36,766044,9.55,626471,4741000,     59.10,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      142,1959,200314,3477451,     17.36,1668616,8.33,1808835,13682000,     68.30,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      160,1953,209920,3644211,     17.36,1748634,8.33,1895578,14339000,     68.31,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      180,1962,231154,3670726,     15.88,2022598,8.75,1648128,12221000,     52.87,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2515519,     15.88,1386070,8.75," 1,129,449",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      125,1955,194730,3273411,     16.81,1801253,9.25,1472159,11070000,     56.85,2-05787-0137,3220 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,       85,1954,100498,1730576,     17.22,672332,6.69," 1,058,244",7573000,     75.35
RIVERDALE,C6  -WALK-UP,       17,1927,28536,403784,     14.15,120993,4.24,282792,2031000,     71.17,2-05703-0183,3044 KINGSBRIDGE AVENUE,KINGSBRIDGE/JEROME PARK,C1  -WALK-UP,       38,1973,38873,513512,     13.21,192033,4.94,321480,2526000,     64.98
RIVERDALE,D4  -ELEVATOR,      143,1958,168962,2725357,     16.13,954635,5.65,1770722,13185000,     78.04,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2555121,     16.13,1504876,9.5," 1,050,245",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       69,1954,92171,1495935,     16.23,903276,9.8,592660,4418000,     47.93,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2570962,     16.23,1552398,9.8," 1,018,563",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       52,1953,82559,1754379,     21.25,831369,10.07,923010,7227000,     87.54,2-05787-0137,3220 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,       85,1954,100498,2147642,     21.37,999955,9.95," 1,147,687",7573000,     75.35
RIVERDALE,D4  -ELEVATOR,       67,1970,83880,1611335,     19.21,902549,10.76,708786,5472000,     65.24,2-05920-0687,699 WEST 239 STREET,RIVERDALE,D1  -ELEVATOR,      132,1962,162000,3112020,     19.21,1352700,8.35," 1,759,320",13584000,     83.85
RIVERDALE,D4  -ELEVATOR,       85,1934,147500,2340825,     15.87,1287675,8.73,1053150,7808000,     52.94,2-05795-0537,3555 NETHERLAND AVENUE,RIVERDALE,D1  -ELEVATOR,       55,1939,60792,956866,     15.74,444390,7.31,512477,3787000,     62.29
RIVERDALE,D4  -ELEVATOR,       69,1953,61538,1049838,     17.06,398766,6.48,651072,4907000,     79.74,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2702440,     17.06,1392406,8.79," 1,310,034",9369000,     59.14
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       72,1974,75747,1367233,     18.05,808220,10.67,559013,4265000,     56.31,2-03263-0050,140 VAN CORTLANDT AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       88,1943,70300,1268915,     18.05,750101,10.67,518814,7141000,    101.58
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       66,1970,67987,1225126,     18.02,610523,8.98,614602,4686000,     68.92,2-03250-0113,2850 CLAFLIN AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       78,1927,95500,1720910,     18.02,857590,8.98,863320,3964000,     41.51
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       57,1957,61187,1100754,     17.99,495615,8.1,605139,4616000,     75.44,2-03263-0050,140 VAN CORTLANDT AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       88,1943,70300,1264697,     17.99,697376,9.92,567321,7141000,    101.58
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       74,1962,69848,1107789,     15.86,602090,8.62,505700,3747000,     53.65,2-03250-0113,2850 CLAFLIN AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       78,1927,95500,1514630,     15.86,823210,8.62,691420,3964000,     41.51
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       93,1940,118214,1951713,     16.51,819223,6.93,1132490,8469000,     71.64,2-03263-0050,140 VAN CORTLANDT AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       88,1943,70300,1160653,     16.51,561697,7.99,598956,7141000,    101.58
RIVERDALE,D4  -ELEVATOR,       73,1941,86000,1538540,     17.89,969220,11.27,569320,4334000,     50.40,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2605812,     16.45,1620514,10.23,985298,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       54,1939,76500,1368585,     17.89,807840,10.56,560745,4272000,     55.84,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2605812,     16.45,1620514,10.23,985298,9369000,     59.14
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      173,1966,154640,2180424,     14.10,1238666,8.01,941758,6763000,     43.73,2-03650-0001,950 EVERGREEN AVENUE,SOUNDVIEW,D3  -ELEVATOR,      213,1964,174671,2293430,     13.13,1376407,7.88,917023,6444000,     36.89
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      105,1931,150000,2328000,     15.52,1374000,9.16,954000,7036000,     46.91,2-03271-0132,3816 REVIEW PLACE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       60,1927,64800,1005696,     15.52,518400,8,487296,4232000,     65.31
RIVERDALE,D4  -ELEVATOR,       44,1939,41068,846411,     20.61,407805,9.93,438606,3425000,     83.40,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,3036681,     19.17,1763081,11.13," 1,273,600",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      127,1951,186480,3466663,     18.59,2045686,10.97,1420978,10903000,     58.47,2-05793-0467,3555 OXFORD AVENUE,RIVERDALE,D1  -ELEVATOR,       57,1960,72553,1348760,     18.59,655879,9.04,692881,5715000,     78.77
KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       66,1937,69441,1009672,     14.54,484698,6.98,524974,3803000,     54.77,2-03250-0113,2850 CLAFLIN AVENUE,KINGSBRIDGE/JEROME PARK,D1  -ELEVATOR,       78,1927,95500,1452555,     15.21,784055,8.21,668500,3964000,     41.51
RIVERDALE,D4  -ELEVATOR,       84,1954,111675,1728729,     15.48,1012892,9.07,715837,5273000,     47.22,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2179694,     13.76,1541310,9.73,638384,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       77,1960,80120,1508660,     18.83,874910,10.92,633749,4872000,     60.81,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2749963,     17.36,1647443,10.4," 1,102,520",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       80,1957,88470,1615462,     18.26,1017405,11.5,598057,4571000,     51.67,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2621652,     16.55,1679125,10.6,942528,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       54,1950,51000,1039380,     20.38,573750,11.25,465630,3630000,     71.18,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2957477,     18.67,1886639,11.91," 1,070,838",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       60,1970,60928,1112545,     18.26,700672,11.5,411873,3148000,     51.67,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2621652,     16.55,1679125,10.6,942528,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       67,1955,80735,1318403,     16.33,830763,10.29,487639,3641000,     45.10,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2315925,     14.62,1631602,10.3,684323,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       49,1939,75000,963000,     12.84,481500,6.42,481500,3359000,     44.79,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2033959,     12.84,1515965,9.57,517994,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       56,1954,59352,1115818,     18.80,536542,9.04,579276,4454000,     75.04,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2705609,     17.08,1536558,9.7," 1,169,051",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       68,1958,82000,1541600,     18.80,909380,11.09,632220,4860000,     59.27,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2705609,     17.08,1536558,9.7," 1,169,051",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       45,1962,43000,905580,     21.06,447200,10.4,458380,3591000,     83.51,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,3065195,     19.35,1751992,11.06," 1,313,202",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       38,1954,47000,890650,     18.95,525460,11.18,365190,2812000,     59.83,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2729370,     17.23,1565071,9.88," 1,164,299",9369000,     59.14
RIVERDALE,D4  -ELEVATOR,      216,1955,312000,5531760,     17.73,2979600,9.55,2552160,19399000,     62.18,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2536112,     16.01,1617346,10.21,918766,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       57,1956,68728,1420608,     20.67,838482,12.2,582126,4552000,     66.23,2-05793-0467,3555 OXFORD AVENUE,RIVERDALE,D1  -ELEVATOR,       57,1960,72553,1499671,     20.67,779945,10.75,719726,5715000,     78.77
RIVERDALE,D4  -ELEVATOR,       56,1932,73911,1518132,     20.54,971930,13.15,546202,4267000,     57.73,2-05780-0940,3900 GREYSTONE AVENUE,RIVERDALE,D1  -ELEVATOR,      127,1928,134703,2730430,     20.27,1382053,10.26," 1,348,377",8191000,     60.81
RIVERDALE,C6  -WALK-UP,       70,1926,117929,1524822,     12.93,725263,6.15,799559,5589000,     47.39,2-05777-0714,3820 WALDO AVENUE,KINGSBRIDGE/JEROME PARK,C1  -WALK-UP,       66,1923,76677,991434,     12.93,471564,6.15,519870,5455000,     71.14
RIVERDALE,D4  -ELEVATOR,       82,1954,106684,1764553,     16.54,975092,9.14,789462,5911000,     55.41,2-05732-0941,2728 HENRY HUDSON PARKWAY E,RIVERDALE,D1  -ELEVATOR,      121,1928,158408,2349191,     14.83,1552398,9.8,796792,9369000,     59.14
RIVERDALE,D4  -ELEVATOR,       90,1955,115597,1890011,     16.35,1003382,8.68,886629,6619000,     57.26,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1388524,     16.35,737149,8.68,651375,6057000,     71.32
RIVERDALE,D4  -ELEVATOR,      120,1954,207100,3398511,     16.41,1859758,8.98,1538753,11495000,     55.50,2-05907-0352,3800 INDEPENDENCE AVENUE,RIVERDALE,D1  -ELEVATOR,       72,1970,84925,1393619,     16.41,762627,8.98,630993,6057000,     71.32
VAN CORTLANDT PARK,D4  -ELEVATOR,      103,1961,107627,1786608,     16.60,962185,8.94,824423,6157000,     57.21,2-05780-0940,3900 GREYSTONE AVENUE,RIVERDALE,D1  -ELEVATOR,      127,1928,134703,2170065,     16.11,1131505,8.4," 1,038,560",8191000,     60.81
FIELDSTON,D4  -ELEVATOR,       49,1931,59000,945770,     16.03,512710,8.69,433060,3218000,     54.54,2-05814-1155,210 WEST 251 STREET,FIELDSTON,D1  -ELEVATOR,       70,1960,75000,1202250,     16.03,651750,8.69,550500,5969000,     79.59
FIELDSTON,D4  -ELEVATOR,       30,1930,30000,489900,     16.33,267000,8.9,222900,1664000,     55.47,2-05814-1155,210 WEST 251 STREET,FIELDSTON,D1  -ELEVATOR,       70,1960,75000,1224750,     16.33,667500,8.9,557250,5969000,     79.59
FIELDSTON,D4  -ELEVATOR,       68,1940,62088,1126276,     18.14,709666,11.43,416610,3182000,     51.25,2-05827-1620,244 FIELDSTON TERRACE,FIELDSTON,D1  -ELEVATOR,       72,1961,63237,1116765,     17.66,673474,10.65,443291,4428000,     70.02
FIELDSTON,D4  -ELEVATOR,       76,1965,85523,1428234,     16.70,842402,9.85,585833,4394000,     51.38,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1019891,     16.30,539353,8.62,480538,6553000,    104.73
FIELDSTON,C6  -WALK-UP,       42,1958,32400,578340,     17.85,316872,9.78,261468,1990000,     61.42,2-05825-1501,221 WEST 251 STREET,FIELDSTON,C1  -WALK-UP,       13,1926,15200,269496,     17.73,150176,9.88,119320,671000,     44.14
FIELDSTON,D4  -ELEVATOR,       68,1964,57414,1164356,     20.28,488593,8.51,675763,5248000,     91.41,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1243266,     19.87,532471,8.51,710795,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      188,1960,263206,4261305,     16.19,2184610,8.3,2076695,15468000,     58.77,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1007377,     16.10,501186,8.01,506191,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      109,1965,110000,1854600,     16.86,1019700,9.27,834900,6277000,     57.06,2-02309-0001,112 LINCOLN AVENUE,MOTT HAVEN/PORT MORRIS,D7  -ELEVATOR,       77,1920,89275,1524817,     17.08,856147,9.59,668670,5045000,     56.51
RIVERDALE,D4  -ELEVATOR,       43,1963,33000,704880,     21.36,274890,8.33,429990,3361000,    101.85,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1267043,     20.25,527465,8.43,739577,6553000,    104.73
RIVERDALE,D4  -ELEVATOR,      129,1961,127000,2125980,     16.74,1148080,9.04,977900,7339000,     57.79,2-05864-0516,6555 BROADWAY,RIVERDALE,D1  -ELEVATOR,       73,1961,62570,1047422,     16.74,495554,7.92,551867,6553000,    104.73
