Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,0,21,1916,16950,254420,15.01,158144,9.33,96276,1.608786928,699000,41.24
0,0,29,1914,27495,371457,13.51,210612,7.66,160846,1.763702923,1133000,41.21
0,0,15,1906,19001,260124,13.69,149348,7.86,110776,1.741730723,783000,41.21
0,0,36,1926,30800,404404,13.13,223916,7.27,180488,1.80605227,1260000,40.91
0,0,37,1920,33055,485578,14.69,298817,9.04,186761,1.625001255,1347000,40.75
0,0,19,1928,19292,275297,14.27,166104,8.61,109193,1.657377306,783000,40.59
0,0,20,1911,18450,258669,14.02,153689,8.33,104981,1.683067754,748000,40.54
0,0,16,1993,15840,205603,12.98,113256,7.15,92347,1.815382849,642000,40.53
0,0,21,1926,24900,307764,12.36,161601,6.49,146163,1.904468413,1000000,40.16
0,0,22,1922,20057,285211,14.22,173092,8.63,112119,1.647742241,802000,39.99
0,0,25,1927,24100,269438,11.18,123874,5.14,145564,2.175097276,960000,39.83
0,0,38,1920,25980,381386,14.68,237977,9.16,143410,1.60261706,1034000,39.8
0,0,43,1924,36000,527400,14.65,329400,9.15,198000,1.601092896,1428000,39.67
0,0,24,1927,26000,356460,13.71,211120,8.12,145340,1.688423645,1028000,39.54
0,0,20,1925,16950,240860,14.21,147804,8.72,93056,1.629590539,665000,39.23
0,0,55,1928,76320,1041768,13.65,618955,8.11,422813,1.683107819,2991000,39.19
0,0,16,1904,14300,192907,13.49,113542,7.94,79365,1.698992443,559000,39.09
0,0,22,1922,23802,326801,13.73,196605,8.26,130197,1.662221205,921000,38.69
0,0,26,1916,24000,345120,14.38,216240,9.01,128880,1.59600444,924000,38.5
0,0,25,1930,22735,306923,13.5,182789,8.04,124133,1.679110887,875000,38.49
0,0,20,1909,21500,255205,11.87,133085,6.19,122120,1.917609047,823000,38.28
0,0,16,1927,12200,165798,13.59,100040,8.2,65758,1.657317073,464000,38.03
0,0,15,1910,13475,180296,13.38,108878,8.08,71418,1.655945186,502000,37.25
0,0,17,1927,13446,189051,14.06,118997,8.85,70054,1.588703917,499000,37.11
0,0,36,1922,41107,545079,13.26,327623,7.97,217456,1.663738504,1525000,37.1
0,0,37,1925,29600,385984,13.04,228216,7.71,157768,1.691309987,1098000,37.09
0,0,48,1927,38720,465802,12.03,257488,6.65,208314,1.80902411,1411000,36.44
0,0,11,1904,14175,161170,11.37,83491,5.89,77679,1.930387706,516000,36.4
0,0,40,1925,39432,465298,11.8,252365,6.4,212933,1.843750124,1435000,36.39
0,0,70,1926,57080,730053,12.79,430383,7.54,299670,1.696286796,2076000,36.37
0,0,26,1915,22500,299250,13.3,183825,8.17,115425,1.627906977,810000,36
0,0,44,1931,35715,476081,13.33,292863,8.2,183218,1.625609927,1285000,35.98
0,0,25,1914,21295,291529,13.69,183776,8.63,107753,1.586327921,762000,35.78
0,0,14,1907,13425,183788,13.69,116261,8.66,67528,1.58082246,477000,35.53
0,0,17,1927,16600,226922,13.67,143590,8.65,83332,1.580346821,589000,35.48
0,0,61,1925,55750,649488,11.65,357915,6.42,291573,1.814643142,1956000,35.09
0,0,81,1925,61878,725829,11.73,402826,6.51,323003,1.801842483,2170000,35.07
