home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,Home_Win
3.943181818,-1.91958042,-1.814685315,1.303321678,1
5.263403263,2.503205128,-4.309027778,-5.215277778,1
3.435897436,0.532051282,-2.602564103,1.03525641,0
8.583333333,-1.346153846,0.333333333,-2.669871795,0
3.570512821,-3.778846154,-3.301282051,0.705128205,1
6.935897436,-1.682692308,2.375,-2.451923077,1
2.170138889,-1.412878788,4.310290404,0.65530303,0
-3.40719697,-4.528093434,1.747790404,-3.234532828,1
-0.174873737,-7.488005051,4.306186869,-1.875631313,0
3.150883838,-3.803030303,-0.804608586,-0.826704545,0
