Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-03277-0002,389 EAST 194 STREET,BEDFORD PARK/NORWOOD,C6  -WALK-UP,       15,1910,13475,183125,     13.59,96077,7.13,87049,618000,     45.86
2-03279-0016,398 OLIVER PLACE,BEDFORD PARK/NORWOOD,D4  -ELEVATOR,       47,1938,42975,875401,     20.37,560394,13.04,315007,2457000,     57.17
2-03326-0045,91 EAST 208 STREET,BEDFORD PARK/NORWOOD,C6  -WALK-UP,       65,1926,56000,887600,     15.85,408240,7.29,479360,3519000,     62.84
2-03073-0041,2386 ARTHUR AVENUE,BELMONT,C6  -WALK-UP,       15,1905,10776,156575,     14.53,75109,6.97,81467,590000,     54.75
2-03105-0005,2420 BEAUMONT AVENUE,BELMONT,C6  -WALK-UP,       17,1912,11748,187028,     15.92,84116,7.16,102912,763000,     64.95
2-03090-0049,684 EAST 189 STREET,BELMONT,C6  -WALK-UP,       37,1928,33984,652833,     19.21,328625,9.67,324207,2502000,     73.62
2-03100-0018,765 GARDEN STREET,BELMONT,C6  -WALK-UP,       20,1931,17600,263824,     14.99,132000,7.5,131824,963000,     54.72
2-03112-0003,803 EAST 182 STREET,BELMONT,C6  -WALK-UP,       44,1931,35715,536082,     15.01,308578,8.64,227505,1662000,     46.54
2-04337-0018,2244 BRONX PARK EAST,BRONXDALE,D4  -ELEVATOR,       68,1956,65071,1063260,     16.34,619476,9.52,443784,3313000,     50.91
2-04425-0001,2410 BARKER AVENUE,BRONXDALE,D4  -ELEVATOR,      172,1963,183600,2955960,     16.10,1432080,7.8,1523880,11333000,     61.73
2-04429-0001,2550 OLINVILLE AVENUE,BRONXDALE,D4  -ELEVATOR,      213,1965,232532,4083262,     17.56,2220681,9.55,1862581,14125000,     60.74
2-04508-0010,2750 OLINVILLE AVENUE,BRONXDALE,D4  -ELEVATOR,       66,1955,71256,1149359,     16.13,536558,7.53,612802,4538000,     63.69
2-04550-0012,2922 BARNES AVENUE,BRONXDALE,D4  -ELEVATOR,      129,1928,127566,2440338,     19.13,1269282,9.95,1171056,9034000,     70.82
2-04543-0001,3000 BRONX PARK EAST,BRONXDALE,D4  -ELEVATOR,      297,1961,352360,5514434,     15.65,3308660,9.39,2205774,16296000,     46.25
2-04594-0044,3215 OLINVILLE AVENUE,BRONXDALE,D4  -ELEVATOR,       47,1963,38150,713405,     18.70,428043,11.22,285362,2192000,     57.46
2-04597-0021,3230 CRUGER AVENUE,BRONXDALE,D4  -ELEVATOR,       79,1930,67248,1147251,     17.06,552779,8.22,594472,4481000,     66.63
2-04593-0036,3231 BARKER AVENUE,BRONXDALE,C6  -WALK-UP,       37,1953,27225,457108,     16.79,251287,9.23,205821,1546000,     56.79
